iso,sex,year,bmi,lower95ci,upper95ci,obese_pc,obese_lower95ci,obese_upper95ci
AFG,Men,1975,18.99944015,16.33111938,21.76307681,0.002077545,0.000383525,0.006515487
COM,Men,1987,21.21223542,19.67878964,22.75529786,0.008316799,0.002736587,0.019085825
COK,Women,1975,28.98816474,26.35985948,31.61257362,0.359538271,0.255615419,0.469956054
DJI,Women,1985,23.54341013,20.42505091,26.70934191,0.099452911,0.054829162,0.156815797
FRA,Women,1995,24.40691151,23.79559093,25.0222244,0.159790368,0.122057375,0.202200488
JPN,Men,1987,22.53064761,22.3380566,22.72270215,0.010893651,0.007790776,0.01474093
MKD,Women,1996,25.42387883,24.09995635,26.77302155,0.183430428,0.128060795,0.247452405
SVK,Women,1990,24.98538281,24.17400683,25.83463937,0.150872811,0.106446513,0.200940743
SWE,Men,1982,24.10647298,23.74825837,24.46210899,0.091508079,0.068023464,0.119301089
AFG,Men,1976,19.10551823,16.50007724,21.80110897,0.002236829,0.00043717,0.006820353
AFG,Men,1977,19.21208022,16.6465068,21.8420206,0.002410114,0.000497358,0.007178988
AFG,Men,1978,19.31905253,16.7868986,21.87651596,0.002598674,0.000558765,0.00756711
AFG,Men,1979,19.4259518,16.95000199,21.93063433,0.002803615,0.000635809,0.008026031
AFG,Men,1980,19.53292264,17.10777391,22.01086857,0.003026073,0.000707037,0.00840554
AFG,Men,1981,19.63799768,17.23236703,22.08849123,0.003263622,0.000794044,0.008855867
AFG,Men,1982,19.74166976,17.35738307,22.1644967,0.00351722,0.000875384,0.009306667
AFG,Men,1983,19.843253,17.48667193,22.26684633,0.003787228,0.000977954,0.009943739
AFG,Men,1984,19.94343635,17.65017008,22.32842105,0.00407454,0.001090563,0.010396051
AFG,Men,1985,20.04144409,17.77293858,22.36827153,0.00438106,0.001216563,0.010976545
AFG,Men,1986,20.13723046,17.86977247,22.43304026,0.0047074,0.001359495,0.011589436
AFG,Men,1987,20.23119765,17.97305227,22.49679436,0.005055633,0.001488784,0.012309386
AFG,Men,1988,20.32325802,18.09100662,22.56179585,0.005425863,0.001627871,0.013042025
AFG,Men,1989,20.41366369,18.20046766,22.63985025,0.005820096,0.001788261,0.013869438
AFG,Men,1990,20.50280452,18.27313139,22.71003488,0.006240354,0.00196378,0.014747966
AFG,Men,1991,20.59086055,18.35357783,22.79795525,0.006690215,0.002138298,0.015805668
AFG,Men,1992,20.67762822,18.45285097,22.87935461,0.007169901,0.002352077,0.016820512
AFG,Men,1993,20.76353917,18.53451004,22.97676338,0.007680489,0.002589071,0.017770983
AFG,Men,1994,20.84882813,18.62388128,23.05512816,0.008223772,0.002842768,0.01892512
AFG,Men,1995,20.93384699,18.72314219,23.14267279,0.008803815,0.00311284,0.01982011
AFG,Men,1996,21.01952527,18.81002534,23.22435932,0.009420684,0.003396803,0.020892461
AFG,Men,1997,21.1060795,18.90861024,23.31706918,0.010076899,0.003702953,0.022072425
AFG,Men,1998,21.19377909,18.9901942,23.40268115,0.010772618,0.004016221,0.023355814
AFG,Men,1999,21.281575,19.08586043,23.48663844,0.011512076,0.004330399,0.024735883
AFG,Men,2000,21.36950574,19.1534231,23.55967461,0.012296558,0.004711694,0.026175695
AFG,Men,2001,21.45684626,19.22632282,23.64116784,0.01312875,0.005101728,0.027750477
AFG,Men,2002,21.54346323,19.30123879,23.72782683,0.01401133,0.005522263,0.02945645
AFG,Men,2003,21.6282274,19.39487672,23.83024239,0.014947131,0.006001963,0.031181328
AFG,Men,2004,21.71044689,19.47677931,23.9123414,0.015937333,0.006489499,0.032794744
AFG,Men,2005,21.79068685,19.54838349,24.01043633,0.016984155,0.006968421,0.034707872
AFG,Men,2006,21.86935021,19.62264859,24.08329266,0.018096413,0.007524645,0.036390859
AFG,Men,2007,21.94726997,19.68102637,24.21846965,0.019275125,0.008051827,0.038613248
AFG,Men,2008,22.02480215,19.74967,24.30596217,0.020525161,0.008708571,0.04107466
AFG,Men,2009,22.1029582,19.80945129,24.40806922,0.021848765,0.00936056,0.04335694
AFG,Men,2010,22.18156918,19.84973469,24.50589499,0.023247294,0.009992367,0.046056119
AFG,Men,2011,22.26185019,19.89661038,24.61656942,0.024727956,0.010627346,0.048786218
AFG,Men,2012,22.3438711,19.95640682,24.73388553,0.026299506,0.01127946,0.05194246
AFG,Men,2013,22.42778543,20.02214098,24.86011901,0.027968292,0.011952829,0.055074853
AFG,Men,2014,22.51238634,20.07885689,24.98840973,0.029738554,0.012533519,0.058552107
AFG,Men,2015,22.59727899,20.11548127,25.11608775,0.031615078,0.013295318,0.062084264
AFG,Men,2016,22.68245614,20.15747542,25.24185657,0.033603394,0.013883615,0.066334066
ALB,Men,1975,23.8759248,21.74563891,26.08399282,0.04629979,0.017554323,0.095337059
ALB,Men,1976,23.94172202,21.91810051,26.03825409,0.048041427,0.019164748,0.096099851
ALB,Men,1977,24.00803306,22.09420686,25.9939815,0.049880402,0.020646132,0.097001791
ALB,Men,1978,24.07459838,22.27027927,25.96278404,0.051804326,0.022392171,0.09831223
ALB,Men,1979,24.14112228,22.41563451,25.96209097,0.053822435,0.023933092,0.099754025
ALB,Men,1980,24.20760428,22.55446852,25.94898382,0.05593268,0.025547135,0.100957621
ALB,Men,1981,24.27426262,22.67517097,25.93171056,0.05813686,0.027228734,0.102933586
ALB,Men,1982,24.34075742,22.79427378,25.93743253,0.060431057,0.028930541,0.10531839
ALB,Men,1983,24.40636409,22.91893695,25.92798494,0.062823218,0.030555035,0.107836551
ALB,Men,1984,24.47104797,23.03864302,25.96395917,0.065313207,0.032418221,0.110883129
ALB,Men,1985,24.53421946,23.12922142,25.99752608,0.067897072,0.034473592,0.113999872
ALB,Men,1986,24.59548918,23.23223658,26.01900413,0.070572686,0.036480474,0.117435115
ALB,Men,1987,24.65456347,23.33257959,26.04241074,0.07333675,0.038658051,0.120648386
ALB,Men,1988,24.71117563,23.4334214,26.06386856,0.076187552,0.040760011,0.123764339
ALB,Men,1989,24.76571186,23.52925193,26.05751705,0.079127961,0.042979165,0.127711661
ALB,Men,1990,24.81864139,23.60857392,26.09066792,0.082155833,0.045446905,0.130779529
ALB,Men,1991,24.87248662,23.67590325,26.10040961,0.085353358,0.047993459,0.134162914
ALB,Men,1992,24.92776195,23.75862024,26.11920271,0.088714938,0.050481205,0.138733237
ALB,Men,1993,24.98529169,23.86045035,26.13513085,0.092232888,0.052899794,0.142144636
ALB,Men,1994,25.04569065,23.95793286,26.15910066,0.095913124,0.055719127,0.146648346
ALB,Men,1995,25.10933569,24.05695936,26.18687108,0.099741354,0.05879371,0.151236006
ALB,Men,1996,25.17723059,24.15799581,26.21596831,0.10373757,0.0616583,0.155680518
ALB,Men,1997,25.24934363,24.26264495,26.2497736,0.107907713,0.064894828,0.159656842
ALB,Men,1998,25.32635192,24.38067761,26.29503784,0.112245638,0.068413136,0.164810483
ALB,Men,1999,25.40797639,24.48611304,26.32582739,0.116740406,0.072382411,0.169848277
ALB,Men,2000,25.49308165,24.61600053,26.37135963,0.121373541,0.076196467,0.174914926
ALB,Men,2001,25.58343886,24.75084763,26.42365458,0.126288103,0.080375696,0.180082468
ALB,Men,2002,25.67802931,24.89498442,26.47112091,0.13147036,0.084412741,0.186038669
ALB,Men,2003,25.77613126,25.02959217,26.52963455,0.136904109,0.088701803,0.191961839
ALB,Men,2004,25.87671391,25.16006863,26.60363279,0.142570306,0.093400744,0.198282874
ALB,Men,2005,25.97969087,25.28018025,26.68720546,0.148449462,0.098164653,0.205457907
ALB,Men,2006,26.08452347,25.39865588,26.77276575,0.154572477,0.103372257,0.212923386
ALB,Men,2007,26.19041371,25.51221277,26.8662792,0.160907967,0.108392971,0.220889681
ALB,Men,2008,26.29694754,25.62618708,26.97452643,0.167436952,0.113800508,0.229079656
ALB,Men,2009,26.40341746,25.71667254,27.09838877,0.174134776,0.11908007,0.237323152
ALB,Men,2010,26.50991056,25.80063792,27.22706555,0.180975918,0.125002138,0.245553806
ALB,Men,2011,26.61704145,25.86958855,27.37487131,0.187911914,0.130370013,0.253922576
ALB,Men,2012,26.72517754,25.90717524,27.54584839,0.194928719,0.135470393,0.262217777
ALB,Men,2013,26.83524213,25.94805199,27.73613928,0.202020919,0.140034869,0.272090824
ALB,Men,2014,26.94717003,25.95393695,27.92507357,0.209201809,0.144395646,0.282264892
ALB,Men,2015,27.06083759,25.96814689,28.12196517,0.216460013,0.149416691,0.290957217
ALB,Men,2016,27.17447081,25.97517011,28.33825558,0.223735443,0.153333508,0.300834342
DZA,Men,1975,21.31656431,19.12407644,23.60185918,0.029323852,0.01026828,0.062773638
DZA,Men,1976,21.39317254,19.30650067,23.55649065,0.030709378,0.011276,0.063938617
DZA,Men,1977,21.47196189,19.47363347,23.53322785,0.032222968,0.012400887,0.064870975
DZA,Men,1978,21.55253294,19.65338494,23.52277696,0.033867595,0.013696822,0.066641646
DZA,Men,1979,21.63537939,19.8086394,23.5260495,0.035644147,0.01485517,0.068625308
DZA,Men,1980,21.72005242,19.97728228,23.53485717,0.037553393,0.016225754,0.07024661
DZA,Men,1981,21.8074752,20.14964715,23.50656629,0.039648081,0.01778945,0.072707004
DZA,Men,1982,21.89745233,20.32312977,23.53320625,0.041927115,0.019333346,0.075417345
DZA,Men,1983,21.98906518,20.4912598,23.53960365,0.04438482,0.020997021,0.078522245
DZA,Men,1984,22.08252987,20.63208339,23.56587038,0.047018101,0.022732945,0.081753223
DZA,Men,1985,22.17713942,20.78973658,23.59518068,0.049822187,0.02498893,0.084770838
DZA,Men,1986,22.27185732,20.92430938,23.64368488,0.052765112,0.027192816,0.088466366
DZA,Men,1987,22.36680091,21.08708957,23.67628948,0.055855773,0.029225337,0.092249386
DZA,Men,1988,22.46155287,21.222991,23.73681364,0.059079282,0.031452859,0.095876624
DZA,Men,1989,22.55645142,21.35891127,23.77071997,0.062441837,0.03399747,0.099687279
DZA,Men,1990,22.65048258,21.49510433,23.82193943,0.065932216,0.036323425,0.103766306
DZA,Men,1991,22.74367297,21.61825703,23.87725061,0.06952683,0.039148449,0.108294649
DZA,Men,1992,22.83664243,21.7562685,23.92828107,0.073242944,0.041797947,0.112602574
DZA,Men,1993,22.92889251,21.88831778,23.98228278,0.07707888,0.044619587,0.117411079
DZA,Men,1994,23.01996339,22.02062025,24.02306198,0.081035548,0.047659572,0.122700808
DZA,Men,1995,23.10986424,22.16044734,24.08174298,0.085115347,0.05045771,0.127991982
DZA,Men,1996,23.19848305,22.29064618,24.12378351,0.089327161,0.053729065,0.133060318
DZA,Men,1997,23.28530832,22.40064809,24.17819914,0.093671986,0.056982876,0.137826055
DZA,Men,1998,23.37129969,22.52759169,24.22876785,0.098146089,0.060566164,0.143312049
