,Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
100,Afghanistan,AFG,Men,1996,165.25586069999997,159.3209128,171.27380159999996
201,Albania,ALB,Men,1996,173.3888563,171.3867491,175.4003156
302,Algeria,DZA,Men,1996,170.07180019999996,167.12974309999996,172.8486931
403,American Samoa,ASM,Men,1996,176.04512069999996,172.97474419999998,179.0837116
504,Andorra,AND,Men,1996,176.0601667,170.1080207,182.0402002
605,Angola,AGO,Men,1996,167.3107273,161.17250380000004,173.683177
706,Antigua and Barbuda,ATG,Men,1996,172.70699030000003,166.8379983,178.5933517
807,Argentina,ARG,Men,1996,174.6157252,171.5648592,177.57724299999995
908,Armenia,ARM,Men,1996,171.9966462,169.3306379,174.6943487
1009,Australia,AUS,Men,1996,179.2046477,178.0104462,180.4168238
1110,Austria,AUT,Men,1996,177.40770469999995,174.8777474,180.0243988
1211,Azerbaijan,AZE,Men,1996,169.74943290000004,167.5546135,172.0993236
1312,Bahamas,BHS,Men,1996,172.74662980000005,166.8182635,178.5582447
1413,Bahrain,BHR,Men,1996,167.74341130000005,164.172074,171.0759062
1514,Bangladesh,BGD,Men,1996,163.8082283,162.0362774,165.55078480000003
1615,Barbados,BRB,Men,1996,175.9161243,173.0324986,179.0085326
1716,Belarus,BLR,Men,1996,178.4384054,172.4211984,184.6026247
1817,Belgium,BEL,Men,1996,181.698803,179.8725499,183.5004181
1918,Belize,BLZ,Men,1996,168.7317804,164.9826095,172.4975999
2019,Benin,BEN,Men,1996,167.0572709,164.6126972,169.4688103
2120,Bermuda,BMU,Men,1996,172.6878702,166.9333815,178.3201109
2221,Bhutan,BTN,Men,1996,165.30588459999996,163.2932785,167.3457565
2322,Bolivia,BOL,Men,1996,166.8462997,164.17255559999995,169.50002869999997
2423,Bosnia and Herzegovina,BIH,Men,1996,180.8691741,178.931004,182.7973256
2524,Botswana,BWA,Men,1996,171.6276505,169.8496323,173.37723219999995
2625,Brazil,BRA,Men,1996,173.5512114,172.54566509999995,174.5598061
2726,Brunei Darussalam,BRN,Men,1996,165.0090651,159.3927067,170.7528806
2827,Bulgaria,BGR,Men,1996,178.2402511,172.4672325,184.038364
2928,Burkina Faso,BFA,Men,1996,169.3288328,167.0186317,171.689786
3029,Burundi,BDI,Men,1996,166.6352493,160.9203087,172.1606062
3130,Cabo Verde,CPV,Men,1996,173.2239364,170.28864130000005,176.1884356
3231,Cambodia,KHM,Men,1996,163.3296025,160.78220080000003,165.8859879
3332,Cameroon,CMR,Men,1996,167.82319130000005,165.58435369999995,170.02539730000004
3433,Canada,CAN,Men,1996,178.0903724,176.532834,179.6133217
3534,Central African Republic,CAF,Men,1996,166.6738233,163.0803059,170.1646003
3635,Chad,TCD,Men,1996,170.4385774,166.8779875,174.06054609999995
3736,Chile,CHL,Men,1996,171.81128169999997,170.35451930000005,173.27620380000005
3837,China,CHN,Men,1996,171.8276872,171.01437090000005,172.6591849
3938,China (Hong Kong SAR),HKG,Men,1996,173.61385090000005,169.75583899999995,177.4281179
4039,Colombia,COL,Men,1996,169.49507880000004,168.3405524,170.67906609999997
4140,Comoros,COM,Men,1996,166.1943222,163.7164296,168.6686874
