iso,country_name,arable_land_ha_pp
AFG,Afghanistan,0.6457609910000001
ALB,Albania,0.17617301100000002
DZA,Algeria,0.273267201
ASM,American Samoa,0.021259407
AND,Andorra,0.018345594
AGO,Angola,0.238262668
ATG,Antigua and Barbuda,0.059973612
ARG,Argentina,0.8119527009999999
ARM,Armenia,
ABW,Aruba,0.032180727
AUS,Australia,2.806898289
AUT,Austria,0.185729078
AZE,Azerbaijan,
BHS,"Bahamas, The",0.031209038
BHR,Bahrain,0.004032819
BGD,Bangladesh,0.08904907199999999
BRB,Barbados,0.061450068
BLR,Belarus,
BEL,Belgium,
BLZ,Belize,0.277256441
BEN,Benin,0.324395159
BMU,Bermuda,0.005056805
BTN,Bhutan,0.251265634
BOL,Bolivia,0.30629015
BIH,Bosnia and Herzegovina,
BWA,Botswana,0.304809015
BRA,Brazil,0.33933895
VGB,British Virgin Islands,0.121499301
BRN,Brunei Darussalam,0.007728423000000002
BGR,Bulgaria,0.442288619
BFA,Burkina Faso,0.397796672
BDI,Burundi,0.17173199100000006
CPV,Cabo Verde,0.119924068
KHM,Cambodia,0.411775234
CMR,Cameroon,0.507032818
CAN,Canada,1.637364614
CYM,Cayman Islands,0.007996801
CAF,Central African Republic,0.653110097
TCD,Chad,0.549450642
CHI,Channel Islands,0.026302507000000003
CHL,Chile,0.211597347
CHN,China,0.109057114
COL,Colombia,0.096435631
COM,Comoros,0.15792261300000002
COD,"Congo, Dem. Rep.",0.192693362
COG,"Congo, Rep.",0.196274714
CRI,Costa Rica,0.083979464
CIV,Cote d'Ivoire,0.198080268
HRV,Croatia,
CUB,Cuba,0.320447368
CUW,Curacao,
CYP,Cyprus,0.137748593
CZE,Czech Republic,
DNK,Denmark,0.498158021
DJI,Djibouti,0.001693773
DMA,Dominica,0.07049601
DOM,Dominican Republic,0.12528455300000002
ECU,Ecuador,0.156976484
EGY,"Egypt, Arab Rep.",0.039782475
SLV,El Salvador,0.104662545
GNQ,Equatorial Guinea,0.30455949
ERI,Eritrea,
EST,Estonia,
ETH,Ethiopia,0.223555393
FRO,Faroe Islands,0.063033155
FJI,Fiji,0.219590793
FIN,Finland,0.455014819
FRA,France,0.303947129
PYF,French Polynesia,0.010081916
GAB,Gabon,0.309804959
GMB,"Gambia, The",0.203968552
GEO,Georgia,
DEU,Germany,0.15070557099999998
GHA,Ghana,0.184574242
GIB,Gibraltar,
GRC,Greece,0.284305103
GRL,Greenland,0.008992805999999999
GRD,Grenada,0.020772099
GUM,Guam,0.015327785
GTM,Guatemala,0.140330985
GIN,Guinea,0.472265454
GNB,Guinea-Bissau,0.246967242
GUY,Guyana,0.64576105
HTI,Haiti,0.109863302
HND,Honduras,0.295035969
