name,alpha-3,region,sub-region
Afghanistan,AFG,Asia,Southern Asia
Åland Islands,ALA,Europe,Northern Europe
Albania,ALB,Europe,Southern Europe
Algeria,DZA,Africa,Northern Africa
American Samoa,ASM,Oceania,Polynesia
Andorra,AND,Europe,Southern Europe
Angola,AGO,Africa,Middle Africa
Anguilla,AIA,Americas,Caribbean
Antarctica,ATA,,
Antigua and Barbuda,ATG,Americas,Caribbean
Argentina,ARG,Americas,South America
Armenia,ARM,Asia,Western Asia
Aruba,ABW,Americas,Caribbean
Australia,AUS,Oceania,Australia and New Zealand
Austria,AUT,Europe,Western Europe
Azerbaijan,AZE,Asia,Western Asia
Bahamas,BHS,Americas,Caribbean
Bahrain,BHR,Asia,Western Asia
Bangladesh,BGD,Asia,Southern Asia
Barbados,BRB,Americas,Caribbean
Belarus,BLR,Europe,Eastern Europe
Belgium,BEL,Europe,Western Europe
Belize,BLZ,Americas,Central America
Benin,BEN,Africa,Western Africa
Bermuda,BMU,Americas,Northern America
Bhutan,BTN,Asia,Southern Asia
Bolivia (Plurinational State of),BOL,Americas,South America
"Bonaire, Sint Eustatius and Saba",BES,Americas,Caribbean
Bosnia and Herzegovina,BIH,Europe,Southern Europe
Botswana,BWA,Africa,Southern Africa
Bouvet Island,BVT,,
Brazil,BRA,Americas,South America
British Indian Ocean Territory,IOT,,
Brunei Darussalam,BRN,Asia,South-Eastern Asia
Bulgaria,BGR,Europe,Eastern Europe
Burkina Faso,BFA,Africa,Western Africa
Burundi,BDI,Africa,Eastern Africa
Cambodia,KHM,Asia,South-Eastern Asia
Cameroon,CMR,Africa,Middle Africa
Canada,CAN,Americas,Northern America
Cabo Verde,CPV,Africa,Western Africa
Cayman Islands,CYM,Americas,Caribbean
Central African Republic,CAF,Africa,Middle Africa
Chad,TCD,Africa,Middle Africa
Chile,CHL,Americas,South America
China,CHN,Asia,Eastern Asia
Christmas Island,CXR,,
Cocos (Keeling) Islands,CCK,,
Colombia,COL,Americas,South America
Comoros,COM,Africa,Eastern Africa
Congo,COG,Africa,Middle Africa
Congo (Democratic Republic of the),COD,Africa,Middle Africa
Cook Islands,COK,Oceania,Polynesia
Costa Rica,CRI,Americas,Central America
Côte d'Ivoire,CIV,Africa,Western Africa
Croatia,HRV,Europe,Southern Europe
Cuba,CUB,Americas,Caribbean
Curaçao,CUW,Americas,Caribbean
Cyprus,CYP,Asia,Western Asia
Czech Republic,CZE,Europe,Eastern Europe
Denmark,DNK,Europe,Northern Europe
Djibouti,DJI,Africa,Eastern Africa
Dominica,DMA,Americas,Caribbean
Dominican Republic,DOM,Americas,Caribbean
Ecuador,ECU,Americas,South America
Egypt,EGY,Africa,Northern Africa
El Salvador,SLV,Americas,Central America
Equatorial Guinea,GNQ,Africa,Middle Africa
Eritrea,ERI,Africa,Eastern Africa
Estonia,EST,Europe,Northern Europe
Ethiopia,ETH,Africa,Eastern Africa
Falkland Islands (Malvinas),FLK,Americas,South America
Faroe Islands,FRO,Europe,Northern Europe
Fiji,FJI,Oceania,Melanesia
Finland,FIN,Europe,Northern Europe
France,FRA,Europe,Western Europe
French Guiana,GUF,Americas,South America
French Polynesia,PYF,Oceania,Polynesia
French Southern Territories,ATF,,
Gabon,GAB,Africa,Middle Africa
Gambia,GMB,Africa,Western Africa
Georgia,GEO,Asia,Western Asia
Germany,DEU,Europe,Western Europe
Ghana,GHA,Africa,Western Africa
Gibraltar,GIB,Europe,Southern Europe
Greece,GRC,Europe,Southern Europe
Greenland,GRL,Americas,Northern America
Grenada,GRD,Americas,Caribbean
Guadeloupe,GLP,Americas,Caribbean
Guam,GUM,Oceania,Micronesia
Guatemala,GTM,Americas,Central America
Guernsey,GGY,Europe,Northern Europe
Guinea,GIN,Africa,Western Africa
Guinea-Bissau,GNB,Africa,Western Africa
Guyana,GUY,Americas,South America
Haiti,HTI,Americas,Caribbean
Heard Island and McDonald Islands,HMD,,
Holy See,VAT,Europe,Southern Europe
Honduras,HND,Americas,Central America
Hong Kong,HKG,Asia,Eastern Asia
Hungary,HUN,Europe,Eastern Europe
Iceland,ISL,Europe,Northern Europe
India,IND,Asia,Southern Asia
Indonesia,IDN,Asia,South-Eastern Asia
Iran (Islamic Republic of),IRN,Asia,Southern Asia
Iraq,IRQ,Asia,Western Asia
Ireland,IRL,Europe,Northern Europe
Isle of Man,IMN,Europe,Northern Europe
Israel,ISR,Asia,Western Asia
Italy,ITA,Europe,Southern Europe
Jamaica,JAM,Americas,Caribbean
Japan,JPN,Asia,Eastern Asia
Jersey,JEY,Europe,Northern Europe
Jordan,JOR,Asia,Western Asia
Kazakhstan,KAZ,Asia,Central Asia
Kenya,KEN,Africa,Eastern Africa
Kiribati,KIR,Oceania,Micronesia
Korea (Democratic People's Republic of),PRK,Asia,Eastern Asia
Korea (Republic of),KOR,Asia,Eastern Asia
Kuwait,KWT,Asia,Western Asia
Kyrgyzstan,KGZ,Asia,Central Asia
